name*;version*;license*;copyrights*;end-of-support;dependencies;language;repository;email;url
@angular-devkit/build-angular;80323;MIT;;;;javascript;;;
@angular/animations;8214;MIT;;;tslib;javascript;;;
@angular/cli;8323;MIT;;;;javascript;;;
@angular/common;8214;MIT;;;tslib;javascript;;;
@angular/compiler;8214;MIT;;;tslib;javascript;;;
@angular/compiler-cli;8214;MIT;;;;javascript;;;
@angular/core;8214;MIT;;;tslib;javascript;;;
@angular/forms;8214;MIT;;;tslib;javascript;;;
@angular/language-service;8214;MIT;;;;javascript;;;
@angular/platform-browser;8214;MIT;;;tslib;javascript;;;
@angular/platform-browser-dynamic;8214;MIT;;;tslib;javascript;;;
@angular/router;8214;MIT;;;tslib;javascript;;;
@biesbjerg/ngx-translate-extract;420;MIT;;;;javascript;;;
@biesbjerg/ngx-translate-extract-marker;100;MIT;;;tslib;javascript;;;
@fortawesome/fontawesome-free;5120;CC-BY-4.0,OFL-1.1,MIT;;;;javascript;;;
@ng-bootstrap/ng-bootstrap;531;MIT;;;tslib;javascript;;;
@ng-select/ng-select;372;MIT;;;tslib;javascript;;;
@ngx-translate/core;1101;MIT;;;tslib;javascript;;;
@types/jasmine;3316;MIT;;;;javascript;;;
@types/jasminewd2;208;MIT;;;;javascript;;;
@types/node;895;MIT;;;;javascript;;;
bignumber.js;900;MIT;;;;javascript;;;
bootstrap;441;MIT;;;;javascript;;;
codelyzer;521;MIT;;;;javascript;;;
deepmerge;211;MIT;;;;javascript;;;
jasmine-core;340;MIT;;;;javascript;;;
jasmine-spec-reporter;421;Apache 2.0;;;;javascript;;;
karma;410;MIT;;;;javascript;;;
karma-chrome-launcher;220;MIT;;;;javascript;;;
karma-coverage-istanbul-reporter;206;MIT;;;;javascript;;;
karma-jasmine;201;MIT;;;;javascript;;;
karma-jasmine-html-reporter;142;MIT;;;;javascript;;;
ng-sidebar;920;MIT;;;;javascript;;;
ngx-currency;233;MIT;;;tslib;javascript;;;
ngx-mask;817;MIT;;;tslib;javascript;;;
ngx-nestable;94;MIT;;;tslib;javascript;;;
ngx-spinner;810;MIT;;;tslib;javascript;;;
ngx-toastr;1132;MIT;;;tslib;javascript;;;
ngx-translate-multi-http-loader;300;MIT;;;deepmerge,tslib;javascript;;;
protractor;543;MIT;;;;javascript;;;
rxjs;654;Apache 2.0;;;tslib;javascript;;;
ts-node;701;MIT;;;;javascript;;;
tslib;1100;Apache 2.0;;;;javascript;;;
tslint;5150;Apache 2.0;;;;javascript;;;
typescript;353;Apache 2.0;;;;javascript;;;
zone.js;102;MIT;;;;javascript;;;
