name*,version*,license*,Copyrights*,end-of-support,dependencies,language,repository,email,url
hapi-base,2.3,MPL-1.1,GPL-2.0,,,,Java,,,
hapi-structures-v25,2.3,GNU General Public License,,,,Java,,,
cglib,3.3.0,Apache-2.0,,,,Java,,,
jackson-annotations,2.12.4,Apache-2.0,,,,Java,,,
jackson-core,2.12.4,Apache-2.0,,,,Java,,,
jackson-databind,2.12.4,Apache-2.0,,,,Java,,,
jackson-datatype-jsr310,2.12.4,Apache-2.0,,,,Java,,,
jackson-jaxrs-base,2.12.4,Apache-2.0,,,,Java,,,
jackson-jaxrs-json-provider,2.12.4,Apache-2.0,,,,Java,,,
jackson-module-jaxb-annotations,2.12.4,Apache-2.0,,,,Java,,,
woodstox-core,6.2.6,Apache-2.0,,,,Java,,,
classmate,1.3.4,Apache-2.0,,,,Java,,,
jsr305,3.0.1,Apache-2.0,,,,Java,,,
failureaccess,1.0.1,Apache-2.0,,,,Java,,,
guava,29.0-jre,Apache-2.0,,,,Java,,,
jakarta.activation,1.2.2,EDL-1.0,,,,Java,,,
istack-commons-runtime,3.0.11,EDL-1.0,,,,Java,,,
istack-commons-tools,3.0.11,EDL-1.0,,,,Java,,,
relaxng-datatype,2.3.3-b02,EPL-2.0; GPL-2.0 w/cpe,,,,Java,,,
rngom,2.3.3,EPL-2.0; GPL-2.0 w/cpe,,,,Java,,,
dtd-parser,1.4.3,EDL-1.0,,,,Java,,,
saaj-impl,1.5.2,EDL-1.0,,,,Java,,,
commons-codec,1.11,Apache-2.0,,,,Java,,,
commons-collections,3.2.2,Apache-2.0,,,,Java,,,
commons-io,2.8.0,Apache-2.0,,,,Java,,,
commons-logging,1.2,Apache-2.0,,,,Java,,,
metrics-core,3.1.2,Apache-2.0,,,,Java,,,
jakarta.activation-api,1.2.1,EDL-1.0,,,,Java,,,
jakarta.annotation-api,1.3.5,EPL-2.0; GPL-2.0 w/cpe,,,,Java,,,
jakarta.jws-api,2.1.0,EDL-1.0,,,,Java,,,
jakarta.ws.rs-api,2.1.6,EPL-2.0; GPL-2.0 w/cpe,,,,Java,,,
jakarta.xml.bind-api,2.3.3,EDL-1.0,,,,Java,,,
jakarta.xml.soap-api,1.4.2,EDL-1.0,,,,Java,,,
jakarta.xml.ws-api,2.3.3,EDL-1.0,,,,Java,,,
javax.activation-api,1.2.0,CDDL; GPL-2.0 w/cpe,,,,Java,,,
cache-api,1.1.1,Apache-2.0,,,,Java,,,
javax.mail-api,1.6.2,CDDL; GPL-2.0 w/cpe,,,,Java,,,
jsp-api,2.2,CDDL; GPL-2.0 w/cpe,,,,Java,,,
javax.servlet-api,3.1.0,CDDL; GPL-2.0 w/cpe,,,,Java,,,
validation-api,2.0.1.Final,Apache-2.0,,,,Java,,,
joda-time,2.10.8,Apache-2.0,,,,Java,,,
log4j,1.2.17,Apache-2.0,,,,Java,,,
java-support,7.5.1,Apache-2.0,,,,Java,,,
commons-lang3,3.11,Apache-2.0,,,,Java,,,
commons-text,1.9,Apache-2.0,,,,Java,,,
cxf-services-sts-core,3.4.3,Apache-2.0,,,,Java,,,
cxf-core,3.4.3,Apache-2.0,,,,Java,,,
cxf-rt-bindings-soap,3.4.3,Apache-2.0,,,,Java,,,
cxf-rt-bindings-xml,3.4.3,Apache-2.0,,,,Java,,,
cxf-rt-databinding-aegis,3.4.3,Apache-2.0,,,,Java,,,
cxf-rt-databinding-jaxb,3.4.3,Apache-2.0,,,,Java,,,
cxf-rt-features-logging,3.4.3,Apache-2.0,,,,Java,,,
cxf-rt-frontend-jaxrs,3.4.3,Apache-2.0,,,,Java,,,
cxf-rt-frontend-jaxws,3.4.3,Apache-2.0,,,,Java,,,
cxf-rt-frontend-simple,3.4.3,Apache-2.0,,,,Java,,,
cxf-rt-javascript,3.4.3,Apache-2.0,,,,Java,,,
cxf-rt-rs-json-basic,3.4.3,Apache-2.0,,,,Java,,,
cxf-rt-rs-security-jose,3.4.3,Apache-2.0,,,,Java,,,
cxf-rt-rs-service-description,3.4.3,Apache-2.0,,,,Java,,,
cxf-rt-security-saml,3.4.3,Apache-2.0,,,,Java,,,
cxf-rt-security,3.4.3,Apache-2.0,,,,Java,,,
cxf-rt-transports-http,3.4.3,Apache-2.0,,,,Java,,,
cxf-rt-ws-addr,3.4.3,Apache-2.0,,,,Java,,,
cxf-rt-ws-policy,3.4.3,Apache-2.0,,,,Java,,,
cxf-rt-ws-security,3.4.3,Apache-2.0,,,,Java,,,
cxf-rt-wsdl,3.4.3,Apache-2.0,,,,Java,,,
cxf-tools-common,3.4.3,Apache-2.0,,,,Java,,,
cxf-tools-java2ws,3.4.3,Apache-2.0,,,,Java,,,
cxf-tools-validator,3.4.3,Apache-2.0,,,,Java,,,
cxf-tools-wsdlto-core,3.4.3,Apache-2.0,,,,Java,,,
cxf-tools-wsdlto-databinding-jaxb,3.4.3,Apache-2.0,,,,Java,,,
cxf-tools-wsdlto-frontend-jaxws,3.4.3,Apache-2.0,,,,Java,,,
geronimo-javamail_1.4_mail,1.8.4,Apache-2.0,,,,Java,,,
geronimo-jta_1.1_spec,1.1.1,Apache-2.0,,,,Java,,,
httpclient,4.5.13,Apache-2.0,,,,Java,,,
httpcore,4.4.13,Apache-2.0,,,,Java,,,
httpmime,4.5.13,Apache-2.0,,,,Java,,,
log4j-api,2.14.0,Apache-2.0,,,,Java,,,
log4j-core,2.14.0,Apache-2.0,,,,Java,,,
log4j-slf4j-impl,2.14.0,Apache-2.0,,,,Java,,,
neethi,3.1.1,Apache-2.0,,,,Java,,,
xmlsec,2.2.0,Apache-2.0,,,,Java,,,
tika-core,1.24.1,Apache-2.0,,,,Java,,,
velocity-engine-core,2.3,Apache-2.0,,,,Java,,,
xmlschema-core,2.2.5,Apache-2.0,,,,Java,,,
wss4j-bindings,2.3.1,Apache-2.0,,,,Java,,,
wss4j-policy,2.3.1,Apache-2.0,,,,Java,,,
wss4j-ws-security-common,2.3.1,Apache-2.0,,,,Java,,,
wss4j-ws-security-dom,2.3.1,Apache-2.0,,,,Java,,,
wss4j-ws-security-policy-stax,2.3.1,Apache-2.0,,,,Java,,,
wss4j-ws-security-stax,2.3.1,Apache-2.0,,,,Java,,,
aspectjrt,1.9.7,EPL-2.0,,,,Java,,,
aspectjtools,1.9.7,EPL-2.0,,,,Java,,,
aspectjweaver,1.9.7,EPL-2.0,,,,Java,,,
bcprov-jdk15on,1.64,Bouncy Castle Licence,,,,Java,,,
groovy,3.0.7,Apache-2.0,,,,Java,,,
stax2-api,4.2.1,BSD,,,,Java,,,
cryptacular,1.2.4,Apache-2.0; LGPL-3.0,,,,Java,,,
ehcache,3.8.1,Apache-2.0,,,,Java,,,
codemodel,2.3.3,EPL-2.0; GPL-2.0 w/cpe,,,,Java,,,
jaxb-runtime,2.3.3,EDL-1.0,,,,Java,,,
jaxb-xjc,2.3.3,EDL-1.0,,,,Java,,,
txw2,2.3.3,EDL-1.0,,,,Java,,,
xsom,2.3.3,EPL-2.0; GPL-2.0 w/cpe,,,,Java,,,
jakarta.el,3.0.3,EPL-2.0; GPL-2.0 w/cpe,,,,Java,,,
hibernate-validator,6.0.13.Final,Apache-2.0,,,,Java,,,
jasypt,1.9.3,Apache-2.0,,,,Java,,,
jboss-logging,3.3.2.Final,Apache-2.0,,,,Java,,,
jboss-rmi-api_1.0_spec,1.0.6.Final,LGPL,,,,Java,,,
jdom2,2.0.6,Similar to Apache License but with the acknowledgment clause removed,,,,Java,,,
stax-ex,1.8.3,EDL-1.0,,,,Java,,,
mybatis-spring,2.0.6,Apache-2.0,,,,Java,,,
mybatis,3.5.6,Apache-2.0,,,,Java,,,
ipf-commons-audit,4.0.0,Apache-2.0,,,,Java,,,
ipf-commons-core,4.0.0,Apache-2.0,,,,Java,,,
ipf-commons-ihe-core,4.0.0,Apache-2.0,,,,Java,,,
ipf-commons-ihe-ws,4.0.0,Apache-2.0,,,,Java,,,
ipf-commons-ihe-xds,4.0.0,Apache-2.0,,,,Java,,,
opensaml-core,3.4.5,Apache-2.0,,,,Java,,,
opensaml-profile-api,3.4.5,Apache-2.0,,,,Java,,,
opensaml-saml-api,3.4.5,Apache-2.0,,,,Java,,,
opensaml-saml-impl,3.4.5,Apache-2.0,,,,Java,,,
opensaml-security-api,3.4.5,Apache-2.0,,,,Java,,,
opensaml-security-impl,3.4.5,Apache-2.0,,,,Java,,,
opensaml-soap-api,3.4.5,Apache-2.0,,,,Java,,,
opensaml-xacml-api,3.4.5,Apache-2.0,,,,Java,,,
opensaml-xacml-impl,3.4.5,Apache-2.0,,,,Java,,,
opensaml-xacml-saml-api,3.4.5,Apache-2.0,,,,Java,,,
opensaml-xacml-saml-impl,3.4.5,Apache-2.0,,,,Java,,,
opensaml-xmlsec-api,3.4.5,Apache-2.0,,,,Java,,,
opensaml-xmlsec-impl,3.4.5,Apache-2.0,,,,Java,,,
asm,7.1,BSD,,,,Java,,,
jcl-over-slf4j,1.7.30,Apache-2.0,,,,Java,,,
jul-to-slf4j,1.7.30,MIT License,,,,Java,,,
slf4j-api,1.7.30,MIT License,,,,Java,,,
slf4j-log4j12,1.7.30,MIT License,,,,Java,,,
spring-security-core,5.4.7,Apache-2.0,,,,Java,,,
spring-aop,5.3.9,Apache-2.0,,,,Java,,,
spring-beans,5.3.9,Apache-2.0,,,,Java,,,
spring-context-support,5.3.9,Apache-2.0,,,,Java,,,
spring-context,5.3.9,Apache-2.0,,,,Java,,,
spring-core,5.3.9,Apache-2.0,,,,Java,,,
spring-expression,5.3.9,Apache-2.0,,,,Java,,,
spring-jcl,5.3.9,Apache-2.0,,,,Java,,,
spring-jdbc,5.3.9,Apache-2.0,,,,Java,,,
spring-oxm,5.3.9,Apache-2.0,,,,Java,,,
spring-tx,5.3.9,Apache-2.0,,,,Java,,,
spring-web,5.3.9,Apache-2.0,,,,Java,,,
spring-webmvc,5.3.9,Apache-2.0,,,,Java,,,
vibur-object-pool,25.0,Apache-2.0,,,,Java,,,
wsdl4j,1.6.3,CPL,,,,Java,,,
xml-resolver,1.2,Apache-2.0,,,,Java,,,
